ac_name,ac_no,district,winning_cand,party,Governor,Chief Minister,,,
Poompuhar,162,Nagapattinam,Nivedha M. Murugan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Nagapattinam,163,Nagapattinam,J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,R. N. Ravi,M.K. Stalin,,,
Kilvelur,164,Nagapattinam,Nagaimaali V P,Communist Party Of India (Marxist),R. N. Ravi,M.K. Stalin,,,
Vedaranyam,165,Nagapattinam,O.S.Manian,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Rasipuram,92,Namakkal,Mathiventhan M,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Senthamangalam,93,Namakkal,Ponnusamy K,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Namakkal,94,Namakkal,Ramalingam P,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Paramathi-Velur,95,Namakkal,Sekar S,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruchengodu,96,Namakkal,Eswaran E R,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kumarapalayam,97,Namakkal,Thangamani.P,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Perambalur,147,Perambalur,"Prabhaharan, M.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kunnam,148,Perambalur,"Sivasankar, S.S.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Ariyalur,149,Perambalur,Chinnappa K,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Jayankondam,150,Perambalur,Kannan Ka So Ka,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Gandarvakkottai,178,Pudukkottai,M.Chinnadurai,Communist Party Of India (Marxist),R. N. Ravi,M.K. Stalin,,,
Viralimalai,179,Pudukkottai,Vijaya Basker C,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Pudukkottai,180,Pudukkottai,V . Muthuraja,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thirumayam,181,Pudukkottai,S.Regupathy,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Alangudi,182,Pudukkottai,Siva.V.Meyyanathan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Aranthangi,183,Pudukkottai,Ramachandran T,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Paramakudi,209,Ramanathapuram,Murugesan S,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruvadanai,210,Ramanathapuram,Karumanickam,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Ramanathapuram,211,Ramanathapuram,Katharbatcha Muthuramalingam,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
